concept_id,deu,swe
447,altɐ,ɔlːdər
448,ʃlʊs,slʉːt
449,t͡saɪ̯t,tiːd
450,taːk,dɑːɡ
451,mɔɐ̯ɡən,mɔrːɡɔn
452,mɪtaːk,mɪdːaɡ
453,aːbɛnt,kvɛlː
454,naχt,natː
455,vɔχə,vɛkːa
456,moːnaːt,moːnad
457,jaːɐ̯,oːr
458,fʁyːlɪŋ,voːr
459,zɔmɐ,sɔmːar
460,hɛɐ̯bst,høsːt
461,vɪntɐ,vɪnːtər
462,jaːnuːaːɐ̯,jɑːnɵarɪ
463,fɛbʁuːaːɐ̯,feːbrɵarɪ
464,mɛɐ̯t͡s,marːs
465,apʁiːl,ɑːprɪl
466,maːiː,majː
467,juːniː,jʉːnɪ
468,juːliː,jʉːlɪ
469,aʊ̯ɡʊst,ɑːɵɡɵstɪ
470,zɛptɛmbɐ,sɛpːtɛmbər
471,ɔktoːbɐ,ɔkːtɔbər
472,noːfɛmbɐ,nuːvɛmbər
473,deːt͡sɛmbɐ,deːsɛmbər
474,mɔntaːk,mɔnːdaɡ
475,diːnstaːk,tɪsːdaɡ
476,mɪtvɔχ,ɔnːsdaɡ
477,dɔnɛɐ̯staːk,tɔrːsdaɡ
478,fʁaɪ̯taːk,freːdaɡ
479,zamstaːk,lœːɖaɡ
480,zɔntaːk,sønːdaɡ
481,ɡʁoːs,stuːr
482,klaɪ̯n,liːtən
483,laŋ,lɔŋː
484,kʊɐ̯t͡s,kuːʈ
485,bʁaɪ̯t,breːd
486,ʃmaːl,smɑːl
487,dɪçt,tɛːt
488,dɪk,ɕɔkː
489,dʏn,tɵnː
490,faɪ̯n,fiːn
491,fɛst,fasːt
492,flaχ,platː
493,ɡlat,ɡlatː
494,haɐ̯t,hoːɖ
495,vaɪ̯ç,mjʉːk
496,ʁʊnt,rɵnːd
497,ʃpɪt͡s,tɔpːɪɡ
497,ʃpɪt͡s,spɛtːsɪɡ
498,ʃaɐ̯f,vasː
498,ʃaɐ̯f,skarːp
499,ʃtʊmp͡f,sløː
500,ʃvɐ,tɵŋː
501,ʃøːn,ɧøːn
501,ʃøːn,vakːər
502,haɪ̯s,heːt
503,vaɐ̯m,varːm
504,kalt,kalː
505,kyːl,svɑːl
505,kyːl,ɕyːlɪɡ
506,fʁɪʃ,færːsk
507,fɔʏ̯çt,fɵkːtɪɡ
508,nas,voːt
509,tʁɔkən,tɔrː
510,fɔl,fɵlː
511,leːɐ̯,tɔmː
512,ɔfən,øpːən
513,ɡəʃlɔsən,stɛŋːd
514,zaʊ̯bɐ,reːn
515,ʃmʊt͡sɪç,snɵsːɕɪɡ
516,ʁoːh,roː
517,ʁaɪ̯f,muːɡən
518,lɛkɐ,lɛkːər
519,zyːs,søːt
520,bɪtɐ,bɛsːk
520,bɪtɐ,bɪtːər
521,zaʊ̯ɐ,sʉːr
522,hɛl,jʉːs
523,dʊŋkəl,mœrːk
524,ʃvaɐ̯t͡s,svɑːʈ
525,vaɪ̯s,viːt
526,ʁoːt,røːd
527,ɡɛlp,ɡʉːl
528,blaʊ̯,bloː
529,ɡʁyːn,ɡrøːn
530,ɡʁaʊ̯,ɡroː
531,bʊnt,bruːɕɪɡ
532,bɪlɪç,bɪlːɪɡ
533,tɔʏ̯ɐ,dyːr
534,vɛɐ̯tfɔl,væːɖɛfɵl
535,blɪnt,blɪnːd
536,taʊ̯p,døːv
537,kʁɛftɪç,krafːtɪɡ
538,ʃtaɐ̯k,starːk
539,ʃvaχ,svɑːɡ
540,fɛt,feːt
541,ʃlaŋk,slanːk
542,hʏbʃ,snʏɡː
542,hʏbʃ,vakːər
543,bøːzə,ɔnːd
543,bøːzə,eːlak
544,dʊm,dɵmː
545,faʊ̯l,lɑːt
546,flaɪ̯sɪç,fliːtɪɡ
547,ɡaɪ̯t͡sɪç,snoːl
547,ɡaɪ̯t͡sɪç,jiːrɪɡ
548,kluːk,kluːk
549,ɡəʃɪkt,hɛnːdɪɡ
549,ɡəʃɪkt,ɧɪkːlɪɡ
550,liːp,ɕæːr
550,liːp,snɛlː
551,lʊstɪç,ruːlɪɡ
551,lʊstɪç,lɵsːtɪɡ
552,zanft,mɪlːd
553,hʊŋʁɪç,hɵŋːrɪɡ
554,kʁaŋk,ɧʉːk
555,nakt,nɑːkən
556,tʁaʊ̯ʁɪç,lɛdːsən
556,tʁaʊ̯ʁɪç,sɔrːɡsən
557,leːbɛndɪç,leːvandə
558,ɡuːt,brɑː
559,ʃlɛçt,doːlɪɡ
560,ʁɪçtɪç,rɪkːtɪɡ
561,ʃlɪm,ɪlːa
562,vaːɐ̯,sanː
563,alt,ɡamːal
564,nɔʏ̯,nyː
565,eːəmaːlɪç,fuːɳ
565,eːəmaːlɪç,tiːdɪɡarə
566,alt,ɡamːal
567,jʊŋ,ɵŋː
568,aɐ̯m,fatːɪɡ
569,ʁaɪ̯ç,riːk
570,bəkant,ɕɛnːd
571,bəʁyːmt,bərømːd
572,fʁɛmt,frɛmːandə
573,fɛɐ̯ʃiːdən,ɔtːɧɪlɪɡ
574,naːh,næːra
575,fɐn,fjærːan
576,lɪŋkɐ,vɛnːstər
577,ʁɛçtɐ,høːɡər
578,andeːʁɐ,anːan
579,ɛɐ̯stɐ,fœrːsta
580,t͡svaɪ̯tɐ,anːdra
581,dʁɪtɐ,trɛdːjə
582,lɛt͡stɐ,sɪsːt
583,alaɪ̯n,alːɛna
584,aʊ̯f aɪ̯nmaːl,poː ɛn ɡɔŋː
585,t͡suːzamən,tɪlːsamans
586,laŋə,lɛŋːə
587,plœt͡slɪç,pløtːslɪɡt
588,zoːfɔɐ̯t,straksː
588,zoːfɔɐ̯t,jeːnast
589,ʃpɛːtɐ,seːnarə
590,jɛt͡st,nʉː
591,hɔʏ̯tə,iː daɡ
592,mɔɐ̯ɡən,iː mɔrɡɔn
593,balt,snɑːʈ
594,dan,doː
595,ɡɛstɐn,iː ɡɔr
596,aɪ̯nst,eːn ɡɔŋ
597,daːmals,doː
597,daːmals,deːn ɡɔŋən
598,daːnaχ,dæːrɛftər
599,fɔɐ̯hɐ,fœːrə
599,fɔɐ̯hɐ,fœːrɵt
600,t͡suːɛɐ̯st,fœrːst
601,aɪ̯nmaːl,eːn ɡɔŋ
602,mançmaːl,iːbland
603,ɔft,ɔfːta
604,ɪmɐ,alːtɪd
605,niːmals,alːdrɪɡ
606,hiːɐ̯,hæːr
607,hiːɐ̯hiːn,hiːt
608,foːn hiːɐ̯,hæːrɪfrɔn
609,dɔɐ̯t,dæːr
610,dɔɐ̯thiːn,diːt
611,ɡəʁaːdeːaʊ̯s,rɛtː framː
612,fɔɐ̯vɛɐ̯t͡s,framː
612,fɔɐ̯vɛɐ̯t͡s,framːɔt
613,ʁʏkvɛɐ̯t͡s,bɑːklɛŋəs
614,t͡suːʁʏk,tɪlːbaka
615,ʊntən,neːrə
615,ʊntən,neːdanfœr
616,hiːnaːp,neːd
616,hiːnaːp,neːdɔt
617,oːbən,uːvan
617,oːbən,uːvanpoː
618,hiːnaʊ̯f,ɵpː
618,hiːnaʊ̯f,ɵpːɔt
619,yːbɐal,øːvɛralt
620,nɪçt,ɛjː
620,nɪçt,ɪnːtə
621,aɪ̯n veːnɪç,liːtət
622,kaʊ̯m,knapːt
622,kaʊ̯m,knapːast
623,zeːʁ,mʏkːət
624,zoː,soː
625,nɔχ,ɛːn
625,nɔχ,ɛnːɵ
626,nuːɐ̯,bɑːra
626,nuːɐ̯,ɛnːdast
627,ʃoːn,reːdan
628,viːdɐ,oːtər
629,fɛɐ̯ɡeːbɛns,fœrːjɛvəs
630,foːɐ̯,ʉːtanfœr
631,hɪntɐ,bɑːkɔm
632,ʊntɐ,ɵnːdər
633,dʊɐ̯ç,jeːnɔm
633,dʊɐ̯ç,iːjɛnɔm
634,neːbən,brɛdːvɪd
634,neːbən,viːd ˈsiːdan ˌɑːv
635,t͡svɪʃən,mɛlːan
636,veːɡən,poː ɡrɵnd ɑːv
637,diːs,dɛtːa
638,daːs,deːt
639,aleːs,alːt
640,ɪç,jɑːɡ
641,duː,dʉː
642,eːɐ̯,hanː
643,viːɐ̯,viː
644,iːɐ̯,niː
645,ziː,deː
646,vaːs,vɑːd
647,feːɐ̯,vɛmː
648,voː,vɑːr
649,voːhiːn,vɑːʈ
650,viː,hʉːr
651,vaːʁuːm,varːfœr
652,viːfiːl,hʉːr mʏkət
653,aɪ̯ns,eːn
653,aɪ̯ns,ɛtː
654,t͡svaɪ̯,tvoː
655,dʁaɪ̯,treː
656,fiːɐ̯,fyːra
657,fʏnf,fɛm
658,zɛks,sɛksː
659,ziːbən,ɧʉː
660,aχt,ɔtːa
661,nɔʏ̯n,niːɔ
662,t͡seːn,tiːɔ
663,ɛlf,ɛlːva
664,t͡svœlf,tɔlːv
665,t͡svant͡sɪç,ɕʉːɡɔ
666,dʁaɪ̯sɪç,trɛtːɪɔ
667,fiːɐ̯t͡sɪç,fyːʈɪɔ
668,fʏnft͡sɪç,fɛmːtɪɔ
669,zɛçt͡sɪç,sɛksːtɪɔ
670,ziːbt͡sɪç,ɧɵtːɪɔ
671,aχt͡sɪç,ɔtːɪɔ
672,nɔʏ̯nt͡sɪç,nɪtːɪɔ
673,hʊndɛɐ̯t,hɵnːdra
674,taʊ̯zɛnt,tʉːsən
675,ʊnt,ɔk
676,oːdɐ,ɛlːər
677,ʃteːən,stoː
678,zɪt͡sən,sɪtːa
679,liːɡən,lɪɡːa
680,hɛŋən,hɛŋːa
681,vɛɐ̯dən,bliː
682,pasiːʁən,ɧeː
682,pasiːʁən,hɛnːda
683,bəɡɪnən,bœrːja
684,ɛndən,ɛnːda
685,vɛksəln,vɛksːla
686,aʊ̯fɡeːən,ɡoː ɵp
687,ʊntɛɐ̯ɡeːən,ɡoː nɛd
688,ʃaɪ̯nən,ɧiːna
689,dɔnɐn,dɵnːdra
690,veːən,bloːsa
691,ʃtʁøːmən,fɔrːsa
691,ʃtʁøːmən,strømːa
692,fliːsən,flyːta
693,zɪç dʁeːən,snɵrːa
694,ʃvaŋkən,vakːla
695,ʃvɪŋən,svɪŋːa
696,falən,falːa
697,bʁɛnən,brɪnːa
698,ʁaʊ̯χən,ryːka
699,ʁɛɡnən,rɛŋːna
700,ɡəfʁiːʁən,fryːsa
701,taʊ̯ən,tøːa
702,ʃmɛlt͡sən,smɛlːta
703,tʁɔknən,tɔrːka
704,ziːdən,kuːka
704,ziːdən,ɧʉːda
705,faʊ̯lən,rɵtːna
706,fɛɐ̯faʊ̯lən,rɵtːna
707,ʁaɪ̯sən,brɪsːta
708,fɛɐ̯zɪŋkən,ɧɵnːka
